y,date,Deaths,Cases,vaccinations
452,25/04/2021,15,1992,79695
453,26/04/2021,12,2443,90695
454,27/04/2021,12,2058,116328
455,28/04/2021,14,2361,134140
456,29/04/2021,13,2084,122568
457,30/04/2021,8,1703,145589
458,01/05/2021,8,1355,143175
459,02/05/2021,12,1424,89924
460,03/05/2021,8,1974,72600
461,04/05/2021,10,2397,127170
462,05/05/2021,12,2394,139097
463,06/05/2021,10,2162,135470
464,07/05/2021,10,1881,133001
465,08/05/2021,8,1512,169027
466,09/05/2021,9,2169,100626
467,10/05/2021,8,2651,115053
468,11/05/2021,14,2198,135113
469,12/05/2021,11,2230,184210
470,13/05/2021,5,2092,209284
471,14/05/2021,6,1849,220068
472,15/05/2021,7,1581,237331
473,16/05/2021,8,1854,131318
474,17/05/2021,7,2764,106733
475,18/05/2021,6,2709,174100
476,19/05/2021,5,2710,264858
477,20/05/2021,5,2424,268251
478,21/05/2021,7,2292,219657
479,22/05/2021,4,1925,205410
480,23/05/2021,7,2241,126357
481,24/05/2021,9,3236,122379
482,25/05/2021,4,3303,186147
483,26/05/2021,11,3800,236119
484,27/05/2021,8,3637,256517
485,28/05/2021,8,3491,204442
486,29/05/2021,7,2931,183526
487,30/05/2021,8,3094,124887
488,31/05/2021,7,3781,93103
489,01/06/2021,4,5235,108507
490,02/06/2021,10,6048,172763
491,03/06/2021,12,6098,191266
492,04/06/2021,9,5705,179924
493,05/06/2021,5,4619,203613
494,06/06/2021,6,5405,127345
495,07/06/2021,5,7742,112941
496,08/06/2021,8,7671,136802
497,09/06/2021,7,7990,176559
498,10/06/2021,11,7837,201607
499,11/06/2021,6,7442,208531
500,12/06/2021,13,6114,254185
501,13/06/2021,10,6954,147228
502,14/06/2021,9,10102,132627
503,15/06/2021,19,10492,190033
504,16/06/2021,11,10776,195565
505,17/06/2021,6,10771,243978
506,18/06/2021,13,10057,223140
507,19/06/2021,22,8253,280241
508,20/06/2021,23,9873,163750
509,21/06/2021,16,15951,21080
510,22/06/2021,13,16998,299837
511,23/06/2021,7,17905,207647
512,24/06/2021,21,18296,221534
513,25/06/2021,20,17766,202497
514,26/06/2021,17,15961,234441
515,27/06/2021,20,18125,139712
516,28/06/2021,12,27746,127260
517,29/06/2021,23,27589,137991
518,30/06/2021,21,28333,141216
519,01/07/2021,21,28105,152525
520,02/07/2021,27,25771,123605
521,03/07/2021,28,23551,137389
522,04/07/2021,28,24659,77222
523,05/07/2021,28,34163,76962
524,06/07/2021,31,35336,85811
525,07/07/2021,29,37797,86953
526,08/07/2021,38,33329,96430
527,09/07/2021,46,32188,90083
528,10/07/2021,42,27837,93763
529,11/07/2021,33,29994,42000
530,12/07/2021,37,43596,54296
531,13/07/2021,49,46695,59073
532,14/07/2021,41,53760,60374
533,15/07/2021,52,60672,61681
534,16/07/2021,49,54172,69491
535,17/07/2021,51,37797,67217
536,18/07/2021,65,35448,18186
537,19/07/2021,81,46827,35670
538,20/07/2021,59,39023,39035
539,21/07/2021,51,34846,45101
540,22/07/2021,73,30623,44036
541,23/07/2021,78,27205,42974
542,24/07/2021,70,22426,43805
543,25/07/2021,69,21726,24551
544,26/07/2021,72,29264,30019
545,27/07/2021,71,28950,35402
546,28/07/2021,80,29572,43847
547,29/07/2021,71,27804,42353
548,30/07/2021,98,24214,36724
549,31/07/2021,80,20109,38826
550,01/08/2021,84,20427,21232
551,02/08/2021,70,29133,26092
552,03/08/2021,56,29520,29290
553,04/08/2021,60,30041,33334
554,05/08/2021,62,26373,35500
