date	region	fips	infections	deaths
2020-04-04	Yorkshire and The Humber	5	3352	394
2020-04-04	West Midlands	6	5405	1034
2020-04-04	South East	7	5405	905
2020-04-04	South West	8	2109	298
2020-04-04	East of England	9	3952	681
2020-04-05	East Midlands	1	3097	470
2020-04-05	North West	2	7144	969
2020-04-05	North East	3	2442	319
2020-04-05	London	4	14575	2371
2020-04-05	Yorkshire and The Humber	5	3568	446
2020-04-05	West Midlands	6	5695	1151
2020-04-05	South East	7	5695	1008
2020-04-05	South West	8	2262	336
2020-04-05	East of England	9	4232	772
2020-04-06	East Midlands	1	3309	538
2020-04-06	North West	2	8013	1077
2020-04-06	North East	3	2817	364
2020-04-06	London	4	15432	2568
2020-04-06	Yorkshire and The Humber	5	3888	503
2020-04-06	West Midlands	6	6054	1251
2020-04-06	South East	7	6054	1110
2020-04-06	South West	8	2447	377
2020-04-06	East of England	9	4617	849
2020-04-07	East Midlands	1	3537	587
2020-04-07	North West	2	8797	1237
2020-04-07	North East	3	3167	406
2020-04-07	London	4	16383	2789
2020-04-07	Yorkshire and The Humber	5	4226	562
2020-04-07	West Midlands	6	6437	1350
2020-04-07	South East	7	6437	1229
2020-04-07	South West	8	2658	421
2020-04-07	East of England	9	5005	959
2020-04-08	East Midlands	1	3724	654
2020-04-08	North West	2	9650	1374
2020-04-08	North East	3	3455	451
2020-04-08	London	4	17256	3021
2020-04-08	Yorkshire and The Humber	5	4544	638
2020-04-08	West Midlands	6	6798	1485
2020-04-08	South East	7	6798	1340
2020-04-08	South West	8	2895	472
2020-04-08	East of England	9	5413	1074
2020-04-09	East Midlands	1	3957	717
2020-04-09	North West	2	10455	1505
2020-04-09	North East	3	3768	499
2020-04-09	London	4	18057	3219
2020-04-09	Yorkshire and The Humber	5	4849	708
2020-04-09	West Midlands	6	7143	1583
2020-04-09	South East	7	7143	1468
2020-04-09	South West	8	3141	503
2020-04-09	East of England	9	5739	1169
2020-04-10	East Midlands	1	4129	773
2020-04-10	North West	2	11056	1646
2020-04-10	North East	3	4013	555
2020-04-10	London	4	18675	3393
2020-04-10	Yorkshire and The Humber	5	5148	780
2020-04-10	West Midlands	6	7505	1687
2020-04-10	South East	7	7505	1578
2020-04-10	South West	8	3375	566
2020-04-10	East of England	9	6060	1240
2020-04-11	East Midlands	1	4303	836
2020-04-11	North West	2	11666	1800
2020-04-11	North East	3	4278	605
2020-04-11	London	4	19194	3557
2020-04-11	Yorkshire and The Humber	5	5408	838
2020-04-11	West Midlands	6	7757	1797
2020-04-11	South East	7	7757	1688
2020-04-11	South West	8	3547	609
2020-04-11	East of England	9	6331	1343
2020-04-12	East Midlands	1	4518	893
2020-04-12	North West	2	12153	1953
2020-04-12	North East	3	4479	651
2020-04-12	London	4	19695	3727
2020-04-12	Yorkshire and The Humber	5	5676	900
2020-04-12	West Midlands	6	7995	1904
2020-04-12	South East	7	7995	1804
2020-04-12	South West	8	3725	646
2020-04-12	East of England	9	6592	1444
2020-04-13	East Midlands	1	4689	942
2020-04-13	North West	2	12762	2098
2020-04-13	North East	3	4711	688
2020-04-13	London	4	20292	3897
2020-04-13	Yorkshire and The Humber	5	6001	963
2020-04-13	West Midlands	6	8275	2000
2020-04-13	South East	7	8275	1907
2020-04-13	South West	8	3919	691
2020-04-13	East of England	9	6884	1529
2020-04-14	East Midlands	1	4899	1003
2020-04-14	North West	2	13395	2250
2020-04-14	North East	3	4968	740
2020-04-14	London	4	20887	4040
2020-04-14	Yorkshire and The Humber	5	6316	1026
2020-04-14	West Midlands	6	8596	2082
2020-04-14	South East	7	8596	2003
2020-04-14	South West	8	4104	724
2020-04-14	East of England	9	7173	1600
2020-04-15	East Midlands	1	5117	1070
2020-04-15	North West	2	14089	2378
2020-04-15	North East	3	5250	771
2020-04-15	London	4	21547	4187
2020-04-15	Yorkshire and The Humber	5	6790	1107
2020-04-15	West Midlands	6	8984	2190
2020-04-15	South East	7	8984	2091
2020-04-15	South West	8	4315	765
2020-04-15	East of England	9	7468	1687
2020-04-16	East Midlands	1	5384	1101
2020-04-16	North West	2	14866	2544
2020-04-16	North East	3	5544	796
2020-04-16	London	4	22122	4325
2020-04-16	Yorkshire and The Humber	5	7162	1190
2020-04-16	West Midlands	6	9494	2279
2020-04-16	South East	7	9494	2180
2020-04-16	South West	8	4577	805
2020-04-16	East of England	9	7805	1773
2020-04-17	East Midlands	1	5641	1162
2020-04-17	North West	2	15446	2661
2020-04-17	North East	3	5835	833
2020-04-17	London	4	22701	4435
2020-04-17	Yorkshire and The Humber	5	7512	1261
2020-04-17	West Midlands	6	9940	2377
2020-04-17	South East	7	9940	2288
2020-04-17	South West	8	4817	853
2020-04-17	East of England	9	8170	1859
2020-04-18	East Midlands	1	5836	1210
2020-04-18	North West	2	16311	2795
2020-04-18	North East	3	6213	883
2020-04-18	London	4	23101	4553
2020-04-18	Yorkshire and The Humber	5	7876	1324
2020-04-18	West Midlands	6	10488	2474
2020-04-18	South East	7	10488	2366
2020-04-18	South West	8	4984	893
2020-04-18	East of England	9	8500	1933
2020-04-19	East Midlands	1	6083	1262
2020-04-19	North West	2	16923	2890
2020-04-19	North East	3	6487	928
2020-04-19	London	4	23496	4669
2020-04-19	Yorkshire and The Humber	5	8293	1389
2020-04-19	West Midlands	6	10828	2552
2020-04-19	South East	7	10828	2475
2020-04-19	South West	8	5182	941
2020-04-19	East of England	9	8817	2008
2020-04-20	East Midlands	1	6270	1327
2020-04-20	North West	2	17598	2995
2020-04-20	North East	3	6801	971
2020-04-20	London	4	23929	4766
2020-04-20	Yorkshire and The Humber	5	8694	1461
2020-04-20	West Midlands	6	11232	2628
2020-04-20	South East	7	11232	2590
2020-04-20	South West	8	5363	981
2020-04-20	East of England	9	9178	2078
2020-04-21	East Midlands	1	6491	1367
2020-04-21	North West	2	18299	3101
2020-04-21	North East	3	7088	1008
2020-04-21	London	4	24393	4871
2020-04-21	Yorkshire and The Humber	5	9043	1526
2020-04-21	West Midlands	6	11725	2707
2020-04-21	South East	7	11725	2680
2020-04-21	South West	8	5590	1024
2020-04-21	East of England	9	9585	2157
2020-04-22	East Midlands	1	6825	1405
2020-04-22	North West	2	19217	3228
2020-04-22	North East	3	7449	1046
2020-04-22	London	4	24791	4981
2020-04-22	Yorkshire and The Humber	5	9606	1594
2020-04-22	West Midlands	6	12303	2775
2020-04-22	South East	7	12303	2764
2020-04-22	South West	8	5876	1054
2020-04-22	East of England	9	10107	2234
2020-04-23	East Midlands	1	7098	1456
2020-04-23	North West	2	20079	3339
2020-04-23	North East	3	7779	1080
2020-04-23	London	4	25311	5061
2020-04-23	Yorkshire and The Humber	5	10055	1647
2020-04-23	West Midlands	6	12854	2859
2020-04-23	South East	7	12854	2852
2020-04-23	South West	8	6157	1088
2020-04-23	East of England	9	10582	2292
2020-04-24	East Midlands	1	7395	1496
2020-04-24	North West	2	20833	3445
2020-04-24	North East	3	8110	1109
2020-04-24	London	4	25689	5136
2020-04-24	Yorkshire and The Humber	5	10646	1718
2020-04-24	West Midlands	6	13334	2927
2020-04-24	South East	7	13334	2945
2020-04-24	South West	8	6407	1125
2020-04-24	East of England	9	11003	2375
2020-04-25	East Midlands	1	7641	1537
2020-04-25	North West	2	21386	3538
2020-04-25	North East	3	8325	1157
2020-04-25	London	4	26022	5194
2020-04-25	Yorkshire and The Humber	5	11058	1780
2020-04-25	West Midlands	6	13719	3001
2020-04-25	South East	7	13719	3036
2020-04-25	South West	8	6607	1151
2020-04-25	East of England	9	11380	2434
2020-04-26	East Midlands	1	7884	1585
2020-04-26	North West	2	21815	3631
2020-04-26	North East	3	8484	1191
2020-04-26	London	4	26333	5256
2020-04-26	Yorkshire and The Humber	5	11480	1843
2020-04-26	West Midlands	6	14035	3080
2020-04-26	South East	7	14035	3113
2020-04-26	South West	8	6861	1187
2020-04-26	East of England	9	11737	2498
2020-04-27	East Midlands	1	8203	1629
2020-04-27	North West	2	22436	3721
2020-04-27	North East	3	8765	1222
2020-04-27	London	4	26751	5310
2020-04-27	Yorkshire and The Humber	5	11990	1910
2020-04-27	West Midlands	6	14452	3148
2020-04-27	South East	7	14452	3174
2020-04-27	South West	8	7182	1219
2020-04-27	East of England	9	12248	2556
2020-04-28	East Midlands	1	8474	1672
2020-04-28	North West	2	23146	3803
2020-04-28	North East	3	9123	1263
2020-04-28	London	4	27064	5368
2020-04-28	Yorkshire and The Humber	5	12478	1968
2020-04-28	West Midlands	6	14827	3198
2020-04-28	South East	7	14827	3242
2020-04-28	South West	8	7456	1248
2020-04-28	East of England	9	12710	2624
2020-04-29	East Midlands	1	8853	1722
2020-04-29	North West	2	23941	3889
2020-04-29	North East	3	9478	1290
2020-04-29	London	4	27492	5420
2020-04-29	Yorkshire and The Humber	5	13192	2040
2020-04-29	West Midlands	6	15268	3255
2020-04-29	South East	7	15268	3311
2020-04-29	South West	8	7803	1280
